expected step
exploit, step:     85, spool: 2.97, diameter: 45.10, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.48, reward: 1.016, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.727
exploit, step:     86, spool: 3.01, diameter: 45.90, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.48, reward: 0.936, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:     87, spool: 3.04, diameter: 44.20, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 0.966, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:     88, spool: 3.08, diameter: 44.40, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 0.986, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:     89, spool: 3.11, diameter: 44.30, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 0.976, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.796
exploit, step:     90, spool: 3.15, diameter: 43.60, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.46, reward: 0.906, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     91, spool: 3.18, diameter: 43.40, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.46, reward: 0.886, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.796
exploit, step:     92, spool: 3.22, diameter: 42.60, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.46, reward: 0.806, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:     93, spool: 3.26, diameter: 43.10, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 0.856, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.796
exploit, step:     94, spool: 3.29, diameter: 44.40, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 0.986, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:     95, spool: 3.33, diameter: 45.20, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 1.006, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     96, spool: 3.36, diameter: 44.50, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 0.996, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:     97, spool: 3.40, diameter: 43.50, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 0.896, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:     98, spool: 3.43, diameter: 42.50, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.44, greedy_e: -0.47, reward: 0.796, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:     99, spool: 3.47, diameter: 42.70, speed: 100.56, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.48, reward: 0.816, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.796
exploit, step:    100, spool: 3.50, diameter: 43.20, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.48, reward: 0.866, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:    101, spool: 3.54, diameter: 42.90, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.49, reward: 0.836, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:    102, spool: 3.57, diameter: 43.00, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.49, reward: 0.846, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.830
exploit, step:    103, spool: 3.61, diameter: 43.40, speed: 100.72, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.49, reward: 0.886, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:    104, spool: 3.64, diameter: 43.00, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.49, reward: 0.846, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
exploit, step:    105, spool: 3.68, diameter: 42.80, speed: 100.72, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: 0.43, greedy_e: -0.49, reward: 0.826, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.864
